ID,ParticipantSex,ParticipantAge,CMVS1,CMVS2,CMVS3,CMVS4,CMVS5,CMVS6,CMVS7,CMVS8,CMVS9,CMVS10,CMVS11rc,CMVS12,CMVS13,CMVS14,CMVS15,CMVS16,CMVS17,CMVS18,CMVS19,CMVS20,CMVS21,CMVS22,CMVS23,CMVS24rc,CMVS25rc,CMVS26rc
1,2,38,5,2,2,4,6,3,3,5,5,6,5,5,5,4,2,3,4,5,6,3,4,4,6,6,6,4
2,2,45,4,4,3,3,3,4,3,2,4,4,5,7,1,7,7,7,7,4,4,6,4,4,3,1,1,1
3,2,47,3,3,6,6,3,7,6,7,7,3,6,1,1,1,7,7,6,2,2,5,2,3,3,1,1,1
4,2,23,6,6,5,5,4,4,5,5,4,6,4,5,4,5,5,4,5,5,6,4,4,5,4,4,3,3
5,2,26,4,3,3,4,3,3,4,6,3,4,3,3,3,5,3,4,4,4,3,4,3,4,5,5,4,4
6,2,23,6,5,5,3,4,4,5,5,5,5,4,4,4,4,4,4,5,5,5,4,5,4,4,5,5,4
7,2,41,2,7,6,1,7,3,4,4,1,6,2,5,2,2,6,2,1,2,2,5,6,2,4,7,3,7
8,2,24,5,4,5,4,5,5,4,4,5,4,5,5,5,5,4,3,4,4,4,3,3,3,4,5,4,5
9,2,37,2,2,2,3,3,5,1,2,2,2,6,2,2,2,2,2,2,2,1,2,3,2,2,5,5,6
10,2,23,5,4,6,4,3,3,2,5,4,5,3,5,4,3,3,3,6,5,6,5,4,3,6,3,4,5
11,2,29,3,4,5,4,4,4,4,4,4,3,5,4,4,4,5,4,4,3,3,4,4,4,5, ,5,3
12,2,36,2,2,2,2,2,2,2,2,2,2,4,4,3,2,4,4,4,2,2,2,2,4,2,2,4,4
13,2,28,4,3,2,2,2,4,2,3,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4
14,2,36,3,2,4,5,3,7,3,3,4,3,3,3,2,4,6,6,7,3,4,3,3,5,4,2,3,3
15,2,28,4,3,2,2,2,5,4,1,2,2,4,2,2,2,4,4,4,3,3,3,2,2,2,3,4,3
16,2,46,1,2,3,4,3,4,5,7,7,5,3, , ,7,7,7,7,4,5,4,2,6,2,1,1,1
17,2,30,3,3,2,3,2,7,5,6,6,6,5,3,3,7,7,7,7,7,3,3,3,2,1,1,5,1
18,2,40,3,3,3,5,3,7,7,3,3,3,2,1,1,1,7,7,7,1,1,7,3,7,3,1,1,1
19,2,51,4,4,4,4,4,4,3,5,4,4,4,4,3,4,4,4,6,4,4,4,4,4,4,1,4,4
20,2,28,4,3,2,2,2,5,2,1,2,2,4,2,2,2,4,2,3,3,3,3,3,3,4,3,4,4
21,2,59,1,1,1,1,1,1,2,2,2,4,2,1,1,1,6,7,7,2,2,2,2,2,2,1,1,6
22,2,66,2,4,6,6,6,6,4,4,6,6,7,1,1,1,7,7,7,7,7,7,4,4,6,1,1,1
23,2,37,2,2,2,2,2,6,2,2,2,2,2,1,1,1,2,3,3,2,2,2,2,2,2,2,4,4
24,2,34,5,5,7,7,7,7,2,2,2,2,2,1,1,1,7,7,7,7,6,7,4,5,3,1,1,1
25,2,28,4,3,3,3,3,5,5,5,5,4,5,3,3,2,5,6,6,3,3,5,4,5,4,4,3,4
26,2,23,2,3,2,3,3,3,5,6,6,5,2,2,2,5,6,4,7,6,3,2,3,6,3,1,1,1
27,2,48,2,3,3,3,3,7,1,1,5,3,2,1,1,7,7,7,7,2,2,3,3,3,3,1,1,3
28,2,50,2,2,2,4,2,3,5,5,4,4,4,1,1,1,7,7,7,2,2,4,2,7,2,6,4,2
29,2,36,1,2,3,3,1,3,3,3,4,6,2,1,2,2,2,4,4,2,2,2,3,5,5,2,3,5
30,2,34,7,5,4,3,5,3,7,7,5,4,4,7,7,5,2,2,2,5,4,7,6,4,7,7,6,6
31,2,50,1,1,1,4,1,1,7,7,4,4,6,7,7,7,7,7,7,2,1,1,2,5,4,1,1,1
32,2,53,2,3,4,6,2,6,5,5,5,6,6,1,1,2,6,6,6,2,2,5,4,6,6,2,1,2
33,2,38,4,2,2,5,2,3,2,1,3,1,2,1,1,1,5,6,6,2,2,4,3,6,5,1,2,2
34,2,23,4,4,4,4,4,4,7,7,4,7,1,4,4,4,4,7,4,4,4,4,4,4,4,4,4,4
35,2,42,3,3,3,4,3,3,4,5,5,5,3,2,2,4,7,7,7,2,2,4,1,4,1,4,4,4
36,2,61,2,2,2,3,2,4,3,4,5,3,2,4,1,2,6,7,7,2,2,3,2,6,3,1,5,1
37,2,49,2,2,2,2,2,2,3,3,2,2,4,4,2,4,5,6,7,2,2,2,2,2,2,1,2,4
38,2,36,7,7,6,7,7,7,6,4,4,3,7,7,7,6,3,2,1,6,5,7,7,7,7,7,6,7
39,2,33,4,4,5,6,4,7,5,5,5,3,6,2,2,2,6,6,6,4,6,4,5,6,5,2,2,2
40,2,27,1,1,6,1,1,7,7,1,1,1,1,1,1,1,7,7,2,1,1,1,7,2,1,7,1,1
41,2,53,3,3,4,5,3,4,5,5,5,6,5,6,3,4,6,7,5,2,2,5,3,6,2,1,2,3
42,2,67,2,2,2,4,2,4,6,3,6,4,2,1,1,2,7,7,6,4,4,5,2,6,2,1,1,1
43,2,32,1,1,1,1,1,1,6,2,1,2,7,2,2,2,6,1,2,2,3,2,2,3,3,3,6,5
44,2,33,2,2,2,2,2,3,5,6,4,5,6,1,1,1,7,7,7,2,4,4,2,4,2,1,2,2
45,2,25,4,4,4,4,4,3,5,6,5,6,5,2,2,1,6,6,6,4,4,4,4,4,4,4,4,4
