ParticipantID,SEX,CMVS1,CMVS2,CMVS3,CMVS4,CMVS5,CMVS6,CMVS7,CMVS8,CMVS9,CMVS10,CMVS11rc,CMVS12,CMVS13,CMVS14,CMVS15,CMVS16,CMVS17,CMVS18,CMVS19,CMVS20,CMVS21,CMVS22,CMVS23,CMVS24rc,CMVS25rc,CMVS26rc
38,0,3,5,2,2,5,6,4,4,3,6,3,5,1,4,2,2, ,4,4,2,3,5,5,6,5,1
40,0,4,3,4,4,5,1, ,1,1,2,5,4,3,4,4,3,3,2,2,3,2,3,4,4,4,6
44,0,6,5,4,5,5,6,5,4,5,5,4,5,5,6,5,4,5,6,5,4,6,4,6,3,4,2
49,0,1,1,1,1,1,1,1,1,1,1,7,1,1,4,1,1,1,1,1,2,2,1,2,7,6,6
50,0,5,4,5,3,4,6,5,4,5,4,3,4,5,6,4,4,4,5,4,6,4,4,3,3,3,4
51,0,5,5,5,6,5,6,5,4,5,3,5,4,5,5,5,5,4,4,2,3,4,5,6,3,5,4
67,0,7,7,7,7,7,7,7,7,5,6,1,7,4,5,6,6,7,6,4,6,6,3,6,2,1,2
72,0,2,3,2,3,2,3,4,3,2,2,5,2,3,4,3,2,3,4,3,2,3,4,3,6,5,4
92,0,4,4,6,6,4,3,7,6,6,6,7,7,7,7,7,6,7,1,1,2,4,6,6,4,7,1
102,0,4,5,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,3,4
106,0,5,6,5,3,5,4,6,5,6,5,2, ,5,5,5,6,5,5,6,4,2,4,5,3,2,3
123,1,6,2,3,4,5,3,4,6,4,2,5,4,5,2,3,4,5,4,2,3,4,5,6,4,5,4
132,1,6,5,6,4,6,5,5,5,4,2,3,4,5,4,6,5,5,6,5,5,4,5,5,3,3,5
161,1,3,1,2,3,2,1,2,2,1,1,6,3,2,2,1,2,3,1,2,2,3,2,1,6,7,6
181,1,3,4,4,3,4,3,4,2,2,4,5,4,3,2,2,3,2,1,4,3,2,2,2,5,6,5
200,1,2,3,2,1,2,2,1,2,2,3,6,3,2,3,2,1,2,2,2,2,3,2,3,7,7,6
215,1,4,4,5,4,4,5,5,5,5,5,6,5,5,5,5,5,5,3,2,4,4,4,4,4,6,3
217,1,1,3,2,2,3,2,2,3,2,2,7,2,1,1,2,2,1,2,2,2,2,1,2,6,6,6
224,1,4,5,6,6,6,5,5,6,6,3,4,4,4,3,4,5,4,3,4,3,3,3,3,4,4,5
236,1,6,4,6,7,6,4,6,5,7,5,1,3,5,7,3,4,6,4,6,3,5,5,4,4,1,3
