ParticipantID,ParticipantSex,ParticipantAge,ParticipantLTR,PartnerNumber,HadSex,AgeSex,ParticipantLifetimeSexPartners,PastYearSexPartners,PastMonthSex,MMS1,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14,CMVS1,CMVS2,CMVS3,CMVS4,CMVS5,CMVS6,CMVS7,CMVS8,CMVS9,CMVS10,CMVS11,CMVS12,CMVS13,CMVS14,CMVS15,CMVS16,CMVS17,CMVS18,CMVS19,CMVS20,CMVS21,CMVS22,CMVS23,CMVS24,CMVS25,CMVS26,SOIR1,SOIR2,SOIR3,SOIR4,SOIR5,SOIR6,SOIR7,SOIR8,SOIR9,ZSDQ1,ZSDQ2,ZSDQ3,ZSDQ4
38,1,28,1,3,1,17,4,1,0,3,2,4,5,4,1,3,2,5,3,5,6,3,5,2,2,5,6,4,4,3,6,3,5,1,4,2,2, ,4,4,2,3,5,5,6,5,1,5,4,7,4,3,7,6,7,8,-2.11438963978465,.538352118707369,1.74956561300156,.504442937912773
40,1,31,1,1,1,27,1,1,0,5,4,4,5,5,3,2,1,1,2,1,2,4,3,4,4,5,1, ,1,1,2,5,4,3,4,4,3,3,2,2,3,2,3,4,4,4,6,6,6,7,7,4,5,2,3,4,.394169620347785,.538352118707369,.964833977758214,1.26317473387174
44,1,29,1,5,1,18,4,2,5,7,5,3,6,3,5,4,6,4,6,4,6,6,5,4,5,5,6,5,4,5,5,4,5,5,6,5,4,5,6,5,4,6,4,6,3,4,2,5,3,4,4,5,6,5,7,5,.394169620347785,.538352118707369,.964833977758214,-.254288858046192
49,1,36,1,30,1,18,5,5,3,7,6,1,1,1,5,3,6,6,7,6,7,1,1,1,1,1,1,1,1,1,1,7,1,1,4,1,1,1,1,1,2,2,1,2,7,6,6,2,2,3,6,6,7,4,3,4,1.23035604039193,1.42590561171141,1.74956561300156,2.0219065298307
50,1,23,1,3,1,17,2,1,14,5,5,5,3,5,5,5,5,4,4,5,5,5,4,5,3,4,6,5,4,5,4,3,4,5,6,4,4,4,5,4,6,4,4,3,3,3,4,4,6,7,6,5,5,6,7,6,-1.27820321974051,.538352118707369,1.74956561300156,1.26317473387174
51,1,27,1,0,2, ,1,1,0,4,3,2,3,2,3,3,3,2,3,3,2,5,5,5,6,5,6,5,4,5,3,5,4,5,5,5,5,4,4,2,3,4,5,6,3,5,4,6,8,6,5,4,4,3,2,2,.394169620347785,-.349201374296671,-.604629292728481,-1.77175244996412
67,1,37,1,2,1,21,2,2,10,6,6,7,5,6,7,6,6,7,3,6,7,7,7,7,7,7,7,7,7,5,6,1,7,4,5,6,6,7,6,4,6,6,3,6,2,1,2,5,7,7,3,8,4, ,5,6,.394169620347785,-.349201374296671,.964833977758214,.504442937912773
72,1,29,1,2,1,28,1,1,1,6,7,5,6,7,5,6,7,5,6,5,6,2,3,2,3,2,3,4,3,2,2,5,2,3,4,3,2,3,4,3,2,3,4,3,6,5,4,7,8,7,8,7,2,8,9,7,-1.27820321974051,.538352118707369,.964833977758214,.504442937912773
92,1,34,1,5,1,16,20,0,0,4,7,1,7,1,1,1,7,7,1,7,4,4,4,6,6,4,3,7,6,6,6,7,7,7,7,7,6,7,1,1,2,4,6,6,4,7,1,3,6,8,9,9,9,7,5,7,1.23035604039193,1.42590561171141,1.74956561300156,.504442937912773
102,1,49,1,6,1,21,4,4,100,6,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,3,4,2,2,2,5,4,6,4,4,4,-.44201679969636,.538352118707369,.964833977758214,.504442937912773
