ID,Sex,Age,ParticipantLTR,PartnerNumber,HadSex,AgeSex,Orientation,ParticipantLifetimeSexPartners,PastYearSexPartners,PastMonthSex,GenHealth,CMVS1,CMVS2,CMVS3,CMVS4,CMVS5,CMVS6,CMVS7,CMVS8,CMVS9,CMVS10,CMVS11,CMVS12,CMVS13,CMVS14,CMVS15,CMVS16,CMVS17,CMVS18,CMVS19,CMVS20,CMVS21,CMVS22,CMVS23,CMVS24,CMVS25,CMVS26,SOIR1,SOIR2,SOIR3,SOIR4,SOIR5,SOIR6,SOIR7,SOIR8,SOIR9,SDQ1,SDQ2,SDQ3,SDQ4,MiniK1,MiniK2,MiniK3,MiniK4,MiniK5,MiniK6,MiniK7,MiniK8,MiniK9,MiniK10,MiniK11,MiniK12,MiniK13,MiniK14,MiniK15,MiniK16,MiniK17,MiniK18,MiniK19,MiniK20
9,1,27,1,2,1,25,2,1,1,0,3,3,5,4,2,6,4,5,2,3,3,6,6,4,5,4,2,4,3,5,3,4,2,6,4,3,6,1,2,2,8,7,8,7,6,6,2,4,4,5,2,5,4,6,4,2,5,3,4,6,2,6,4,5,3,2,5,4,3,6
11,2,39,1,2,1,20,1,4,0,0,4,4,3,5,6,4,6,6,7,7,7,6,4,1,2,7,7,7,4,5,7,4,7,4,2,2,2,1,1,1,1,1,1,3,1,1,2,2,2,2,4,5,3,4,5,6,7,7,7,2,7,7,6,6,6,6,6,6,1,1
15,1,42,1,1,1,30,2,1,1,0,5,4,4,4,6,4,7,1,1,4,2,2,1,1,1,4,4,7,4,4,2,4,7,4,4,3,7,1,1,1,1,1,3,4,2,2,2,1,2,4,5,5,2,5,7,5,5,6,5,5,5,5,6,5,5,5,4,4,5,4
17,2,53,1,10,1,18,1,8,0,0,4,3,3,4,5,3,4,5,5,5,6,5,6,3,4,6,7,5,2,2,5,3,6,2,2,2,3,1,1,3,7,2,2,1,1,1,2,2,2,1,5,5,6,6,6,3,6,6,4,5,7,7,7,7,7,5,5,5,2,2
19,1,28,1,2,1,19,2,2,1,0,4,3,2,2,2,2,3, ,1,3,2,3,3,2,3,5,6,7,3,3,3,2,3,4,2,4,3,1,1,1,9,2,4,1,1,1,2,2,2,3,5,6,4,7,6,2,6,5,6,6,1,5,6,4,4,7,6,6,7,7
21,1,28,1,5,2, ,2,0,0,0,4,2,3,3,6,6,6,2,2,2,2,4,2,2,2,2,2,2,2,5,3,3,5,5,5,3,3,1,1,1,1,1,8,3,2,2,2,1,1,2,6,6,6,6,6,3,6,5,5,5,4,6,5,5,5,5,5,5,5,6
24,1,30,1,1,2, ,2,0,0,0,4,5,4,5,5,6,7,3,5,5,5,2,5,6,6,7,5,6,6,5,5,5,6,6,3,3,2,1,1,2,3,8,3,2,3,2,3,3,2,4,4,5,4,4,4,4,5,4,4,4,7,7,5,4,4,4,5,5,4,5
25,2,44,1,3,1,16,1,3,1,0,2,2,2,3,7,3,7,7,7,7,7,6,7,1,1,7,7,7,2,3,3,1,7,2,2,2,2,1,1,1,1,1,9,1,1,1,3,3,1,4,5,6,6,6,2,7,7,7,1,6,1,7,5,5,5,7,7,7,5,1
26,1,42,1,1,1,29,2,1,0,0,4,4,2,1,4,4,7,4,4,3,4,5,1,1,1,2,4,4,3,4,3,3,7,2,7,5,7,1,1,1,1,1,4,2,2,2,3,2,2,6,5,6,5,4,7,7,5,5,7,7,7,5,5,2,4,5, ,4,7,7
27,1,47,1,1,1,27,2,1,1,1,4,4,3,5,6,4,7,3,3,3,3,2,2,1,2,4,4,5,3,4,3,5,5,5,2,2,4,1,1,1,1,1,1,1,1,1,3,2,1,4,5,6,6,6,7,4,7,7,7,7,7,6,6,6,7,6,6,6,6,6
