SEX,AGE_1,Ethnicity,Ethnicity_2,Relationship,Relationship_Length,IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8,IC9,IC10,IC11,IC12,Intrasexual_Competition_Mean
0,19,1, ,0, ,2,3,3,3,2,2,3,1,5,3,3,2,2.66666666666667
0,19,1, ,0, ,2,5,2,3,2,2,3,2,5,5,5,2,3.16666666666667
0,18,1, ,0, ,1,1,1,3,2,1,1,2,5,5,2,2,2.16666666666667
0,23,1, ,0, ,2,2,5,5,3,2,4,1,6,5,2,1,3.16666666666667
0,23,1, ,0, ,2,2,7,1,2,2,2,2,2,2,2,2,2.33333333333333
0,18,1, ,0, ,1,3,2,3,2,1,3,2,3,4,2,4,2.5
0,18,2, ,0, ,1,1,1,4,1,1,1,1,4,4,1,1,1.75
0,22,8, ,0, ,1,6,2,6,1,1,1,1,2,2,1,1,2.08333333333333
0,19,1, ,0, ,5,3,6,4,2,3,6,2,7,6,3,3,4.16666666666667
0,18,1, ,0, ,1,2,1,2,1,1,1,1,5,6,3,1,2.08333333333333
0,21,1, ,0, ,3,3,3,2,1,2,2,2,2,2,2,2,2.16666666666667
0,22,1, ,0, ,2,1,1,2,1,2,1,2,1,2,1,1,1.41666666666667
0,19,1, ,0, ,3,3,3,4,1,1,1,1,4,5,4,2,2.66666666666667
0,21,1, ,0, ,1,3,2,5,1,1,3,1,6,5,6,2,3
0,24,1, ,0, ,2,2,2,4,2,1,1,1,5,5,6,2,2.75
0,20,1, ,0, ,1,2,2,5,2,2,2,1,4,5,4,2,2.66666666666667
0,19,1, ,0, ,3,3,2,6,2,2,2,1,3,2,5,2,2.75
0,20,1, ,0, ,2,2,2,5,2,2,2,2,5,5,4,2,2.91666666666667
0,18,1, ,1,5,2,1,2,2,1,1,2,1,2,3,3,1,1.75
0,20,1, ,1,5,3,4,4,4,1,2,5,1,5,5,4,4,3.5
0,20,1, ,1,5,3,3,2,4,1,1,1,1,5,5,5,2,2.75
0,21,1, ,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1
0,21,1, ,0, ,3,4,4,6,1,1,1,1,5,1,6,1,2.83333333333333
0,21,1, ,0, ,1,3,1,6,1,1,1,1,1,3,7,1,2.25
0,22,1,5,0, ,2,5,3,6,1,2,2,1,3,6,6,4,3.41666666666667
0,19,1, ,0, ,1,1,1,4,5,3,2,2,3,5,4,3,2.83333333333333
0,21,1, ,1,5,3,2,3,4,2,2,3,2,5,5,5,4,3.33333333333333
0,20,1, ,1,5,7,4,7,7,2,2,7,2,7,7,7,7,5.5
0,18,1, ,1,4,3,2,2,5,1,2,1,1,6,6,7,2,3.16666666666667
0,23,1, ,1,5,1,5,1,6,1,1,1,1,6,5,2,2,2.66666666666667
0,20,1, ,1,2,2,2,2,5,1,1,2,1,6,6,6,3,3.08333333333333
0,21,1, ,0, ,3,2,2,4,2,2,1,1,5,7,6,2,3.08333333333333
0,20,1, ,1,5,3,1,1,2,1,1,1,1,1,2,1,1,1.33333333333333
0,22,1, ,1,5,2,2,2,4,2,1,1,1,4,2,5,1,2.25
0,20,1, ,1,4,5,4,4,4,1,2,3,2,4,5,6,5,3.75
0,20,1, ,1,1,2,3,4,4,1,1,3,1,5,6,6,2,3.16666666666667
0,27,1, ,0, ,2,2,6,7,2,2,4,2,6,6,6,3,4
0,23,1, ,1,3,1,1,1,2,1,1,1,1,2,5,1,1,1.5
0,23,1, ,0, ,1,2,1,3,3,1,1,1,6,2,2,1,2
0,22,1, ,0, ,4,4,5,5,2,2,3,1,3,6,4,3,3.5
0,26,1, ,1,4,1,1,2,2,1,1,2,1,2,7,7,3,2.5
0,25,1, ,0, ,1,1,1,6,1,1,1,1,6,6,2,1,2.33333333333333
0,22,1, ,0, ,3,3,4,4,3,2,6,1,5,5,4,3,3.58333333333333
0,21,1, ,0, ,2,2,3,5,3,2,2,3,5,4,4,5,3.33333333333333
0,21,1, ,1,1,2,3,2,4,2,2,2,2,4,5,4,2,2.83333333333333
0,24,1, ,0, ,2,2,1,2,1,1,1,1,1,1,2,1,1.33333333333333
0,22,1, ,1,1,3,3,3,5,2,2,2,2,5,5,5,3,3.33333333333333
0,21,1, ,1,4,2,1,1,5,1,1,2,1,3,4,5,2,2.33333333333333
0,20,1, ,1,1,2,5,4,7,2,1,1,1,7,4,5,1,3.33333333333333
0,21,1, ,1,4,1,2,2,4,1,1,2,1,4,5,5,1,2.41666666666667
0,20,1, ,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1.25
0,26,1, ,1,2,5,4,2,7,2,3, ,2,7,7,3,2, 
0,18,1, ,1,4,2,2,2,2,1,1,2,1,2,1,1,1,1.5
0,25,1, ,1,5,1,1,1,4,4,1,1,1,5,4,5,2,2.5
0,19,1, ,1,3,5,5,2,2,2,3,2,2,5,5,4,3,3.33333333333333
0,18,1, ,0, ,1,5,2,6,1,2,3,2,4,5,4,2,3.08333333333333
0,18,1, ,1,3,4,4,5,6,3,2,3,2,5,3,4,2,3.58333333333333
0,25,1, ,1,3,3,3,5,5,2,3,5,3,5,5,7,4,4.16666666666667
0,22,1, ,1,3,2,1,1,4,1,1,1,1,6,3,1,1,1.91666666666667
0,29,1, ,1,5,2,2,2,6,2,2,5,2,6,6,6,3,3.66666666666667
0,25,1, ,0, ,2,3,3,6,1,1,2,1,3,4,4,2,2.66666666666667
0,19,1, ,0, , , , , , , , , , , , , , 
0,17,1, ,0, ,2,2,2,6,2,2,2,2,2,2,5,2,2.58333333333333
0,22,1, ,1,4,2,2,2,4,4,4,3,1,3,3,5,2,2.91666666666667
0,18,1, ,1,5,2,2,4,6,2,2,2,2,6,6,3,3,3.33333333333333
0,19,1, ,1,4,5,5,5,5,4,2,2,2,6,6,5,5,4.33333333333333
0,18,1, ,0, ,5,3,2,6,2,2,2,3,4,5,4,3,3.41666666666667
0,18,1, ,1,3,2,2,2,4,2,3,4,4,5,6,7,4,3.75
0,19,1, ,0, ,2,2,2,4,1,2,2,2,4,5,5,2,2.75
0,20,1, ,1,5,2,2,2,2,2,2,3,2,4,4,4,2,2.58333333333333
