ID,SEX,ICS1,ICS2,ICS3,ICS4,ICS5,ICS6,ICS7,ICS8,ICS9,ICS10,ICS11,ICS12
1,0,2,3,3,3,2,2,3,1,5,3,3,2
2,0,2,5,2,3,2,2,3,2,5,5,5,2
3,0,1,1,1,3,2,1,1,2,5,5,2,2
4,0,2,2,5,5,3,2,4,1,6,5,2,1
5,0,2,2,7,1,2,2,2,2,2,2,2,2
6,0,1,3,2,3,2,1,3,2,3,4,2,4
7,0,1,1,1,4,1,1,1,1,4,4,1,1
8,0,1,6,2,6,1,1,1,1,2,2,1,1
9,0,5,3,6,4,2,3,6,2,7,6,3,3
10,0,1,2,1,2,1,1,1,1,5,6,3,1
11,0,3,3,3,2,1,2,2,2,2,2,2,2
12,0,2,1,1,2,1,2,1,2,1,2,1,1
13,0,3,3,3,4,1,1,1,1,4,5,4,2
14,0,1,3,2,5,1,1,3,1,6,5,6,2
15,0,2,2,2,4,2,1,1,1,5,5,6,2
16,0,1,2,2,5,2,2,2,1,4,5,4,2
17,0,3,3,2,6,2,2,2,1,3,2,5,2
18,0,2,2,2,5,2,2,2,2,5,5,4,2
19,0,2,1,2,2,1,1,2,1,2,3,3,1
20,0,3,4,4,4,1,2,5,1,5,5,4,4
21,0,3,3,2,4,1,1,1,1,5,5,5,2
22,0,1,1,1,1,1,1,1,1,1,1,1,1
23,0,3,4,4,6,1,1,1,1,5,1,6,1
24,0,1,3,1,6,1,1,1,1,1,3,7,1
25,0,2,5,3,6,1,2,2,1,3,6,6,4
26,0,1,1,1,4,5,3,2,2,3,5,4,3
27,0,3,2,3,4,2,2,3,2,5,5,5,4
28,0,7,4,7,7,2,2,7,2,7,7,7,7
29,0,3,2,2,5,1,2,1,1,6,6,7,2
30,0,1,5,1,6,1,1,1,1,6,5,2,2
31,0,2,2,2,5,1,1,2,1,6,6,6,3
32,0,3,2,2,4,2,2,1,1,5,7,6,2
33,0,3,1,1,2,1,1,1,1,1,2,1,1
34,0,2,2,2,4,2,1,1,1,4,2,5,1
35,0,5,4,4,4,1,2,3,2,4,5,6,5
36,0,2,3,4,4,1,1,3,1,5,6,6,2
37,0,2,2,6,7,2,2,4,2,6,6,6,3
38,0,1,1,1,2,1,1,1,1,2,5,1,1
39,0,1,2,1,3,3,1,1,1,6,2,2,1
40,0,4,4,5,5,2,2,3,1,3,6,4,3
41,0,1,1,2,2,1,1,2,1,2,7,7,3
42,0,1,1,1,6,1,1,1,1,6,6,2,1
43,0,3,3,4,4,3,2,6,1,5,5,4,3
44,0,2,2,3,5,3,2,2,3,5,4,4,5
45,0,2,3,2,4,2,2,2,2,4,5,4,2
46,0,2,2,1,2,1,1,1,1,1,1,2,1
47,0,3,3,3,5,2,2,2,2,5,5,5,3
48,0,2,1,1,5,1,1,2,1,3,4,5,2
49,0,2,5,4,7,2,1,1,1,7,4,5,1
50,0,1,2,2,4,1,1,2,1,4,5,5,1
51,0,1,3,1,2,1,1,1,1,1,1,1,1
52,0,5,4,2,7,2,3, ,2,7,7,3,2
53,0,2,2,2,2,1,1,2,1,2,1,1,1
54,0,1,1,1,4,4,1,1,1,5,4,5,2
55,0,5,5,2,2,2,3,2,2,5,5,4,3
56,0,1,5,2,6,1,2,3,2,4,5,4,2
57,0,4,4,5,6,3,2,3,2,5,3,4,2
