Participant,Sex,Age,Ethnicity,DATE,Sexual_orientation,Lifetime_sex_partners,Casual_sex_partners,Intrasexual_Competition_1,Intrasexual_Competition_2,Intrasexual_Competition_3,Intrasexual_Competition_4,Intrasexual_Competition_5,Intrasexual_Competition_6,Intrasexual_Competition_7,Intrasexual_Competition_8,Intrasexual_Competition_9,Intrasexual_Competition_10,Intrasexual_Competition_11,Intrasexual_Competition_12,INTRASEXUAL_COMPETITION_MEAN
140,0,19,0,0,0, , ,3,2,4,3,4,3,4,3,5,3,4,5,3.58333333333333
143,0,24,0,1,0,5,0,1,2,1,2,1,1,1,1,4,7,4,2,2.25
207,0,23,0,1,0,3,2,3,2,4,6,2,1,3,1,5,2,1,1,2.58333333333333
261,0,29,0,0,0,26,19,1,3,1,6,1,1,2,1,2,5,4,2,2.41666666666667
208,0,20,6,0,0,1,0,2,3,3,5,1,2,2,1,7,4,4,4,3.16666666666667
170,0,19,0,0,0,7,6,1,1,1,7,1,1,1,1,7,7,7,1,3
256,0,24,0,1,0,5,0,2,4,1,3,1,1,1,1,5,4,4,3,2.5
79,0,20,0,0,0,6,6,3,3,4,5,2,2,2,2,5,4,4,3,3.25
256,0,27,0,1,0,13,4,1,1,2,3,2,5,4,1,6,3,3,4,2.91666666666667
14,0,24,0,1,0,1,0,1,1,1,4,1,2,2,1,1,2,2,2,1.66666666666667
17,0,24,0,1,0,10,4,1,4,1,5,1,1,1,1,3,5,5,3,2.58333333333333
176,0,24,0,1,0,32,31,1,1,1,5,1,1,1,1,3,3,3,1,1.83333333333333
94,0,22,0,1,0,2,1,2,2,2,5,1,1,2,1,6,4,4,2,2.66666666666667
116,0,21,5,0,0,0,0,1,1,1,1,1,1,1,1,3,1,1,1,1.16666666666667
141,0,21,0,1,0,2,0,2,2,2,4,1,1,1,1,5,5,3,2,2.41666666666667
172,0,21,0,1,0,4,3,1,1,1,3,5,1,2,4,5,6,6,4,3.25
90,0,20,0,0,0,13,11,5,3,5,6,1,1,2,1,5,6,5,4,3.66666666666667
125,0,20,0,1,0,1,0,1,1,1,1,1,1,1,1,1,4,3,1,1.41666666666667
155,0,20,0,0,0,15,14,2,6,2,5,3,2,3,3,5,4,3,6,3.66666666666667
157,0,20,0,1,0,5,1,1,1,1,1,1,1,1,1,2,1,1,1,1.08333333333333
186,0,20,0,0,0,19,8,4,6,4,3,3,3,4,3,6,5,5,4,4.16666666666667
231,0,20,0,0,0, , ,2,2,1,3,1,2,2,1,4,4,2,1,2.08333333333333
257,0,20,0,1,0,1,0,2,2,4,5,2,1,4,2,2,5,5,1,2.91666666666667
169,0,19,0,0,0,11,7,2,2,2,6,2,2,2,4,6,6,5,2,3.41666666666667
166,0,29,0,1,0, , ,3,2,2,5,5,4,3,2,4,4,2,5,3.41666666666667
232,0,27,0,1,0,3,0,1,1,1,1,1,4,1,1,2,2,1,1,1.41666666666667
46,0,25,0,1,0,2,1,4,4,3,4,3,3,3,3,2,5,5,4,3.58333333333333
139,0,23,0,1,0,2,0,1,1,1,2,1,1,1,1,1,2,2,2,1.33333333333333
247,0,23,0,1,0,24,21,3,3,2,6,1,1,2,1,5,6,5,2,3.08333333333333
47,0,22,0,1,0,13,8,1,2,2,6,1,2,4,1,5,6,4,2,3
64,0,22,0,1,0,9,4,2,2,2,3,3,3,2,2,2,3,2,2,2.33333333333333
81,0,22,0,1,0,3,1,1,1,1,3,1,1,2,1,3,1,1,1,1.41666666666667
129,0,21,0,1,0,3,0,5,4,4,4,2,2,2,1,6,6,6,6,4
156,0,21,6,0,0,2,1,5,6,6,6,6,5,3,2,3,4,3,2,4.25
174,0,21,0,0,0,12,8,1,1,2,4,1,1,1,1,4,6,7,7,3
91,0,19,0,0,0,4,3,4,2,5,6,1,2,3,1,7,5,2,2,3.33333333333333
230,0,18,0,0,0,2,1,1,1,1,3,1,1,1,1,1,2,2,1,1.33333333333333
233,0,29,0,0,0,10,0,1,1,2,4,1,1,1,1,2,1,1,2,1.5
69,0,28,0,0,0,45,30,4,5,6,5,3,3,4,4,6,5,4,2,4.25
37,0,27,0,1,0,1,0,4,4,4,4,2,3,5,3,6,7,6,4,4.33333333333333
70,0,27,0,1,0,13,8,1,4,4,5,1,1,3,1,6,2,7,5,3.33333333333333
45,0,26,0, ,0,11, ,4,4,1,5,1,1,1,1,2,5,6,5,3
234,0,26,6,1,0,88,75,2,1,2,5,1,1,3,1,1,1,1,1,1.66666666666667
93,0,25,0,1,0,9,6,3,4,3,5,1,1,1,1,6,4,2,2,2.75
219,0,25,0,1,0,9,6,1,1,1,2,4,2,2,1,7,3,2,2,2.33333333333333
239,0,25,0,1,0,11,7,3,4,4,5,4,3,3,2,5,6,6,3,4
243,0,24,0,0,0,50,49,1,1,1,1,1,1,1,1,1,1,1,1,1
48,0,23,5,0,0,10,7,1,2,1,5,1,1,1,1,1,5,2,2,1.91666666666667
71,0,23,6,0,0,2,1,4,5,5,5,3,3,5,3,5,5,5,5,4.41666666666667
218,0,23,0,0,0,35,30,3,3,3,6,1,3,3,2,6,4,5,5,3.66666666666667
225,0,23,0,0,0,5,4,1,1,1,2,1,1,1,1,3,2,2,4,1.66666666666667
16,0,22,0,0,0,5,2,1,1,1,3,1,1,1,1,6,4,3,1,2
32,0,22,0,0,0,1,0,1,1,1,2,1,1,1,1,2,2,2,1,1.33333333333333
73,0,22,0,0,0,4,2,2,5,4,6,5,5,5,3,7,6,6,6,5
60,0,21,0,1,0, ,0,5,7,4,5,3,6,6,3,4,6,4,3,4.66666666666667
177,0,21,0,0,0,14,8,2,3,2,4,3,3,3,3,3,4,4,4,3.16666666666667
27,0,19,0,0,0,0,0,2,4,2,5,2,2,1,1,5,5,3,2,2.83333333333333
61,0,19,0,0,0,1,0,1,2,1,4,1,1,1,1,6,3,1,1,1.91666666666667
260,0,19,2,0,0,2,1,1,2,1,5,1,1,2,1,5,6,7,1,2.75
262,0,19,0,1,0,1,0,4,6,4,5,2,2,4,2,6,6,6,3,4.16666666666667
53,0,18,0,0,0,9,9,1,1,2,2,1,1,1,1,2, , , , 
55,0,18,0,0,0,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57,0,18,1,0,0,0,0,2,1,5,7,1,5,6,2,7,7,7,4,4.5
62,0,18,0,0,0,3,0,1,1,1,5,1,3,6,1,5,3,1,3,2.58333333333333
138,0,18,6,0,0,6,7,1,1,1,1,1,2,1,1,2,2,1,1,1.25
