Participant,Sex,ICS1,ICS2,ICS3,ICS4,ICS5,ICS6,ICS7,ICS8,ICS9,ICS10,ICS11,ICS12
1,1,1,1,3,2,2,2,2,1,3,3,2,3
2,1,1,1,2,1,1,1,2,2,1,3,2,3
3,1,4,4,7,6,3,1,1,2,5,6,4,2
4,1,5,6,7,6,1,4,4,3,7,6,4,1
5,1,1,1,1,2,1,1,1,1,1,1,1,1
6,1,2,2,2,2,1,1,2,1,4,2,1,2
7,1,2,3,2,3,2,2,2,2,3,3,2,2
8,1,6,5,5,6,1,1,5,1,3,7,5,1
9,1,3,3,3,3,3,3,3,3,3,4,3,3
10,1,3,3,4,2,4,5,4,2,5,6,2,4
11,1,3,5,7,7,7,1,7,3,7,4,2,3
12,1,2,1,1,3,1,1,1,1,7,1,1,1
13,1,2,1,3,2,1,1,2,1,2,2,1,1
14,0,1,1,1,4,1,2,2,1,1,2,2,2
15,0,3,3,2,5,2,2,2,1,3,2,1,2
16,0,1,1,1,3,1,1,1,1,6,4,3,1
17,0,1,4,1,5,1,1,1,1,3,5,5,3
18,1,5,5,2,2,1,1,1,1,1,4,5,3
19,0,2,2,2,2,2,2,3,2,3,3,3,3
20,1,2,3,2,2,1,1,1,1,2,5,2,1
21,0,1,1,1,6,1,1,1,1,1,1,1,1
22,1,3,2,4,2,2,3,4,4,3,2,1,2
23,1,1,3,2,4,1,1,1,1,2,2,1,1
24,1,4,4,2,3,3,4,3,3,2,5,2,5
25,1,1,1,2,4,1,1,1,1,1,5,4,1
26,0,1,2,1,3,1,1,1,1,4,7,7,1
27,0,2,4,2,5,2,2,1,1,5,5,3,2
28,1,2,2,2,4,2,1,3,1,5,4,5,2
29,1,3,5,3,6,3,1,2,4,7,6,5,2
30,1,3,6,2,3,1,1,1,1,4,4,4,1
31,1,1,1,4,1,1,1,2,1,1,5,5,1
32,0,1,1,1,2,1,1,1,1,2,2,2,1
33,0,1,1,1,4,1,2,1,1,4,3,3,1
34,1,2,1,2,1,1,1,1,1,1,4,1,1
35,1,1,2,2,5,2,1,1,1,4,3,5,4
36,0,2,2,1,4,1,1,1,1,4,3,5,1
37,0,4,4,4,4,2,3,5,3,6,7,6,4
38,1,1,1,1,1,1,1,1,1,1,1,1,1
39,1,1,1,1,1,1,1,1,1,1,1,1,1
40,1,2,2,3,5,3,2,3,3,5,4,4,2
41,1,5,3,6,5,2,2,5,1,6,6,3,2
42,1,1,1,2,2,1,1,1,1,1,2,1,1
43,1,3,4,3,5,3,1,3,4,5,5,5,4
44,1,1,1,1,2,1,1,1,1,2,1,1,1
45,0,4,4,1,5,1,1,1,1,2,5,6,5
46,0,4,4,3,4,3,3,3,3,2,5,5,4
47,0,1,2,2,6,1,2,4,1,5,6,4,2
48,0,1,2,1,5,1,1,1,1,1,5,2,2
49,1,5,4,6,6,4,5,6,5,6,6,7,4
50,1,4,4,4,5,3,2,2,1,5,5,5,5
51,1,3,2,3,5,2,3,2,2,6,3,4,2
53,0,1,1,2,2,1,1,1,1,2, , , 
54,1,1,1,1,1,1,1,1,1,1,1,1,1
55,0,1,1,1,1,1,1,1,1,1,1,1,1
56,1,1,1,1,1,1,1,1,1,2,2,1,1
57,0,2,1,5,7,1,5,6,2,7,7,7,4
58,0,1,3,2,2,1,1,2,1,3,4,2,1
59,0,3,2,2,2,1,2,1,1,1,1,1,1
60,0,5,7,4,5,3,6,6,3,4,6,4,3
61,0,1,2,1,4,1,1,1,1,6,3,1,1
62,0,1,1,1,5,1,3,6,1,5,3,1,3
63,1,1,3,1,2,1,1,1,1,6,3,1,1
64,0,2,2,2,3,3,3,2,2,2,3,2,2
65,0,2,5,2,4,2,4,3,1,4,5,5,3
66,0,3,5,1,7,1,1,1,1,5,3,3,1
67,1,2,1,2,2,2,1,1,1,4,4,2,3
68,1,2,2,1,3,1,2,1,1,2,4,2,1
69,0,4,5,6,5,3,3,4,4,6,5,4,2
70,0,1,4,4,5,1,1,3,1,6,2,7,5
71,0,4,5,5,5,3,3,5,3,5,5,5,5
72,1,1,1,1,1,1,1,1,1,1,1,1,1
73,0,2,5,4,6,5,5,5,3,7,6,6,6
74,1,2,2,1,3,1,2,2,2,4,3,2,4
75,1,1,1,1,1,1,1,1,1,2,1,1,1
77,1,5,5,7,7,2,2,5,1,7,7,7,7
78,1,1,1,1,1,1,1,1,1,1,1,1,1
79,0,3,3,4,5,2,2,2,2,5,4,4,3
80,1,2,4,1,5,1,1,1,1,3,4,2,2
81,0,1,1,1,3,1,1,2,1,3,1,1,1
82,1,3,4,6,6,1,1,6,1,5,7,4,1
83,1,1,4,5,5,1,1,4,1,4,3,1,3
84,1,3,6,4,5,2,2,3,2,5,5,3,3
85,1,2,2,3,4,2,1,1,1,5,2,2,1
86,1,1,2,1,4,1,1,1,1,4,5,2,1
87,1,2,3,2,3,1,1,1,1,5,4,2,1
88,1,2,2,1,2,1,1,1,1,2,1,1,1
89,1,2,1,3,2,1,1,1,1,2,5,3,1
90,0,5,3,5,6,1,1,2,1,5,6,5,4
91,0,4,2,5,6,1,2,3,1,7,5,2,2
92,1,2,2,3,2,2,2,2,1,4,4,3,3
93,0,3,4,3,5,1,1,1,1,6,4,2,2
94,0,2,2,2,5,1,1,2,1,6,4,4,2
95,1,5,3,5,4,2,2,2,2,5,6,4,3
96,1,4,5,3,5,2,1,2,2,6,5,3,2
97,1,2,3,3,4,3,3,4,1,4,5,4,2
98,1,2,2,2,3,2,2,2,2,3,4,4,3
99,1,4,3,4,3,2,2,3,1,3,3,2,2
100,1,4,4,4,5,1,1,2,1,2,3,3,2
101,1,1,1,1,1,1,1,1,1,1,1,1,1
102,1,2,2,2,2,1,1,2,1,1,2,1,1
103,1,1,2,1,2,1,1,1,1,4,4,3,1
104,1,2,2,2,2,2,1,1,1,2,2,2,2
105,0,1,1,1,4,1,1,1,1,3,3,1,1
106,1,4,1,2,3,4,2,2,2,2,2,2,2
107,1,6,5,4,6,2,2,2,1,5,6,6,1
108,1,3,3,1,1,1,1,1,1,1,1,1,2
109,1,4,4,3,5,3,2,1,2,2,3,3,2
110,1,1,2,3,2,1,1,1,1,6,4,1,1
111,1,2,4,3,4,1,1,2,1,4,3,2,2
112,1,4,2,2,6,1,1,2,1,4,6,6,4
113,1,1,1,1,3,1,2,1,1,4,5,5,1
115,1,1,1,1,5,1,1,1,1,1,3,1,1
116,0,1,1,1,1,1,1,1,1,3,1,1,1
117,1,2,3,5,7,2,2,2,2,2,7,2,2
118,1,5,5,6,6,3,4,6,3,4,5,3,4
119,1,3,3,6,3,1,1,3,1,5,3,3,1
120,1,3,3,2,4,1,2,1,1,2,4,2,1
121,1,2,4,1,2,2,1,2,1,1,4,3,3
122,1,1,1,1,1,1,1,1,3,1,2,2,1
123,1,1,1,2,3,1,1,1,1,1,5,2,1
124,1,2,3,1,1,1,1,1,1,1,2,1,1
125,0,1,1,1,1,1,1,1,1,1,4,3,1
126,1,1,4,1,5,1,1,2,1,7,6,6,2
127,1,1,1,1,4,1,1,1,1,2,2,2,1
128,1,1,2,1,1,1,1,2,1,2,2,2,2
129,0,5,4,4,4,2,2,2,1,6,6,6,6
130,1,4,3,7,7,1,4,7,1,7,7,7,6
131,1,1,1,1,1,1,4,1,1,1,1,1,1
132,0,5,5,4,5,3,4,5,7,6,5,5,4
133,1,1,2,1,2,1,1,1,1,1,1,1,1
134,1,2,1,2,3,1,1,1,1,3,3,1,1
135,1,4,1,3,5,1,3,3,7,5,5,4,4
136,1,5,3,4,6,2,2,2,3,6,6,5,3
