Participant_ID,Participant_Sex,Participant_Age,Participant_Ethnicity_1,Participant_Ethnicity_2,Participant_Ethnicity_3,Multiple_Ethinic,Participant_LTR,Partner_Number,Had_Sex,Age_Sex,Participant_Primarily_Attracted,Participant_Lifetime_Sex_Partners,Past_Year_Sex_Partners,Past_Month_Sex,MEQ1,MEQ2,MEQ3,MEQ4,MEQ5,MEQ6,MEQ7,MEQ8,MEQ9,MEQ10,MEQ11,MEQ12,MRSF1,MRSF2,MRSF3,MRSF4,MRSF5,MRSF6,MRSF7,MRSF8,MRSF9,MRSF10,MRSF11,MRSF12,MRSF13,MRSF14,MRSF15,MRSF16,MRSF17,MRSF18,MRSF19,MRSF20,MRSF21,MRSF22,MRSF23,MRSF24,MRSF25,MRSF26,MRSF27,MRSF28,MRSF29,MRSF30,MRSF31,MRSF32,MRSF33,MRSF34,MRSF35,MRSF36,MRSF37,MRSF38,ICS1,ICS2,ICS3,ICS4,ICS5,ICS6,ICS7,ICS8,ICS9,ICS10,ICS11,ICS12,SOIR1,SOIR2,SOIR3,SOIR4,SOIR5,SOIR6,SOIR7,SOIR8,SOIR9
38,1,28,1, , ,0,1,3,1,17,2,4,1,0,3,2,4,5,4,1,3,2,5,3,5,6,2,1,2,3,3,2,3,3,4,3,2,4,3,2,4,2,3,3,2,4,2,3,3,3,2,2,2,1,2,3,3,1,4,3,1,3,2,2,3,6,5,2,4,5,3,3,6,3,5,2,5,4,7,4,3,7,6,7,8
40,1,31,3, , ,0,1,1,1,27,2,1,1,0,5,4,4,5,5,3,2,1,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,1,1,1,2,2,4,3,3,4,2,3,3,3,3,5,6,5,5,6,5,5,5,5,4,5,5,6,6,7,7,4,5,2,3,4
44,1,29,3, , ,0,1,5,1,18,2,4,2,5,7,5,3,6,3,5,4,6,4,6,4,6,3,2,3,3,2,4,3,3,2,3,3,2,3,2,3,3,2,2,3,3,2,3,3,2,3,2,3,2,2,2,3,3,2,4,2,2,2,3,3,5,4,4,3,5,6,4,3,5,5,3,5,3,4,4,5,6,5,7,5
49,1,36,8, , ,0,1,30,1,18,2,5,5,3,7,6,1,1,1,5,3,6,6,7,6,7,4,3,1,2,2,3,2,2,2,2,3,2,2,4,2,2,2,1,1,1,2,2,2,4,3,4,1,4,4,4,3,3,3,2,4,3,2,4,5,5,2,2,2,2,1,1,2,1,1,1,2,2,3,6,6,7,4,3,4
50,1,23,2, , ,0,1,3,1,17,2,2,1,14,5,5,5,3,5,5,5,5,4,4,5,5,2,3,2,2,3,2,3,2,3,2,1,2,3,3,3,2,3,3,2,3,2,3,3,2,4,2,3,2,3,3,2,3,2,3,2,3,2,3,4,5,4,3,5,5,3,5,4,6,5,5,4,6,7,6,5,5,6,7,6
51,1,27,3, , ,0,1,0,2, ,2,1,1,0,4,3,2,3,2,3,3,3,2,3,3,2,2,2,3,2,3,3,2,3,3,3,2,4,3,2,3,3,3,3,3,3,2,3,3,4,3,3,3,3,2,2,2,3,3,3,2,2,2,2,4,6,4,5,3,6,4,6,4,6,4,3,6,8,6,5,4,4,3,2,2
67,1,37,3, , ,0,1,2,1,21,2,2,2,10,6,6,7,5,6,7,6,6,7,3,6,7,4,2,1,3,4,3,3,2,3,4,3,4,4,4,3,4,4,4,2,2,3,3,4,1,4,4,1,4,3,3,4,4,2,3,1,2,3,1,3,5,6,6,2,4,6,7,7,6,5,2,5,7,7,3,8,4, ,5,6
72,1,29,2, , ,0,1,2,1,28,2,1,1,1,6,7,5,6,7,5,6,7,5,6,5,6,2,3,2,3,2,3,2,1,2,3,2,3,2,3,2,3,2,3,2,3,2,1,2,3,2,3,4,3,4,3,4,3,4,3,2,3,4,3,3,4,3,2,3,4,4,3,4,3,2,3,7,8,7,8,7,2,8,9,7
92,1,34,1,6, ,1,1,5,1,16,2,20,0,0,4,7,1,7,1,1,1,7,7,1,7,4,3,1,2,1,2,4,1,3,1,1,3,3,2,4,4,1,1,1,1,2,1,2,1,1,3,1,2,3,4,3,4,3,4,4,2,1,1,1,1,3,1,5,1,1,1,1,6,4,4,1,3,6,8,9,9,9,7,5,7
102,1,49,1, , ,0,1,6,1,21,2,4,4,100,6,5,4,5,4,5,4,5,4,5,4,5,3,3,2,3,3,3,3,2,3,3,3,2,3,3,2,3,3,2,3,3,3,2,3,3,2,3,2,3,2,3,3,3,2,3,2,3,3,2,5,4,4,5,5,4,6,5,4,5,4,5,2,2,2,5,4,6,4,4,4
