ID,Rel,ICS1,ICS2,ICS3,ICS4,ICS5,ICS6,ICS7,ICS8,ICS9,ICS10,ICS11,ICS12,PSAPNPnts,PSAPNProv,PSAPOpt1,PSAPOpt2,PSAPOpt3
1,2,4,1,5,1,1,1,5,1,1,5,5,1,8,12,2059,410,500
2,1,1,1,1,1,1,1,1,1,2,1,1,1,12,19,3189,0,60
3,2,1,2,1,5,2,1,1,1,6,5,3,1,18,16,3435,10,290
4,1,2,4,3,6,1,1,3,1,6,5,4,1,19,9,2885,250,700
6,1,4,4,3,5,1,1,3,1,5,6,5,1,24,12,3600,100,260
7,2,2,2,2,2,1,1,2,1,5,6,6,1,18,15,3358,0,150
8,1,2,2,2,5,3,1,4,1,7,4,1,3,11,22,3379,0,0
9,1,3,2,2,3,1,1,1,1,3,2,1,2,13,11,2400,210,381
11,1,3,5,6,3,1,1,4,1,6,3,1,1,10,20,3018,60,40
12,2,1,1,1,1,1,1,1,1,2,1,1,1,3,16,1992,170,280
13,2,2,2,1,1,1,1,1,2,3,4,2,4,18,9,2703,100,460
14,1,1,3,1,2,1,2,1,1,3,1,1,2,25,9,3400,230,315
15,2,2,2,1,2,1,1,1,1,2,2,1,1,16,10,2651,40,420
16,2,3,5,5,6,2,2,2,1,4,4,1,2,15,9,2498,190,120
17,2,2,2,2,3,1,1,1,1,2,2,1,1,14,15,2977,20,460
18,1,2,5,3,4,1,2,3,1,5,3,2,2,24,11,3500,150,160
19,1,2,2,3,2,1,2,3,1,3,3,2,3,13,12,2555,310,0
20,2,4,5,2,5,4,1,2,1,5,5,2,2,23,13,3675,30,140
21,1,1,1,1,1,1,1,1,1,4,1,1,1,18,13,3100,340,170
22,1,1,2,1,3,1,1,1,1,1,1,1,1,11,15,2683,60,90
23,1,2,2,3,5,1,1,1,7,5,5,4,1,17,10,2777,180,190
25,2,3,5,3,2,1,1,1,1,2,1,1,2,20,17,3741,20,100
26,2,1,1,1,1,1,1,1,1,5,4,1,1,14,12,2691,130,140
27,2,1,3,4,4,1,2,2,1,2,4,1,2,14,11,2509,170,150
28,1,3,3,3,5,5,2,3,2,2,4,5,2,14,14,2868,0,210
29,1,1,1,1,2,1,1,1,1,2,1,1,1,18,11,2900,368,170
30,1,1,3,2,5,1,1,2,1,3,3,2,2,12,15,2768,30,230
31,1,2,2,2,2,1,2,2,1,2,2,1,2,17,10,2720,170,310
33,2,1,3,1,4,1,1,1,1,4,5,1,1,14,16,3079,0,190
34,2,1,3,1,2,1,1,1,1,7,7,1,1,18,9,2770,250,210
37,2,2,2,2,4,1,1,1,1,4,5,5,1,18,14,3207,30,20
38,2,1,3,1,4,1,1,1,1,6,4,2,2,19,8,2774,210,20
40,2,1,1,4,1,1,1,4,1,5,1,1,1,21,12,3371,110,180
41,2,4,6,4,5,2,3,2,1,4,5,4,3,8,16,2416,100,230
43,2,5,5,4,5,3,3,3,3,3,4,2,4,16,10,2602,160,440
46,1,1,2,1,3,1,1,1,1,3,1,2,1,17,12,2900,0,421
47,2,1,3,2,2,1,1,3,1,6,6,1,2,21,10,3100,190,291
48,2,1,1,3,1,1,1,1,1,4,4,3,1,10,13,2300,170,352
49,2,4,3,3,2,2,3,2,2,3,3,3,3,12,10,2282,290,410
50,2,1,4,1,4,1,1,1,1,2,5,4,1,15,11,2600,52,570
51,1,1,2,1,2,1,1,1,1,1,2,2,1,13,15,2848,60,20
52,2,1,1,1,1,1,1,1,1,1,1,1,2,18,11,2958,50,90
53,2,2,2,2,2,2,2,2,2,4,2,2,2,18,10,2800,350,450
54,2,3,4,5,5,2,4,4,2,5,5,2,2,0,25,2529,0,0
56,1,2,4,2,4,2,1,3,1,2,3,3,2,14,12,2638,200,230
57,2,1,3,3,3,1,1,2,1,2,2,1,4,11,12,2336,200,120
58,1,4,4,4,4,4,4,4,4,4,4,4,4,22,12,3447,180,410
59,1,1,1,3,1,1, ,1,1,7,3,4,1,23,12,3417,250,110
60,1,4,2,2,4,2,2,2,2,5,4,4,4,6,12,1800,240,544
61,2,1,1,1,1,1,1,1,1,1,1,1,1,10,12,2263,90,350
62,1,5,3,3,4,2,1,1,1,4,2,2,2,11,11,2200,40,430
63,2,2,3,3,4,1,1,3,1,3,3,1,3,13,11,2400,250,220
64,1,5,5,2,3,1,1,1,1,5,4,2,1,14,10,2400,390,360
65,1,1,2,1,1,1,1,1,1,3,2,1,2,9,11,2020,280,280
66,1,2,3,2,2,3,2,2,2,3,2,2,2,15,12,2788,300,290
67,1,2,5,3,5,2,4,4,4,5,4,2,4,10,10,2068,210,70
68,1,2,4,2,5,1,3,3,1,5,2,2,1,22,19,4100,10,39
71,1,2,2,5,5,2,2,5,3,6,5,2,1,29,10,3993,170,130
72,1,1,1,1,5,1,1,1,1,3,4,1,1,14,12,2629,140,190
74,2,1,5,1,2,1,1,3,1,3,1,1,2,13,11,2475,90,350
75,1,6,7,5,6,1,1,5,1,6,6,1,5,18,10,2821,0,230
76,1,4,7,6,7,1,1,2,1,2,3,1,1,20,14,3400,107,70
