Participant_ID,Participant_Sex,Participant_Age,ICS1,ICS2,ICS3,ICS4,ICS5,ICS6,ICS7,ICS8,ICS9,ICS10,ICS11,ICS12
71,1,55, , , , , , , , , , , , 
38,1,28,3,6,5,2,4,5,3,3,6,3,5,2
40,1,31,5,6,5,5,6,5,5,5,5,4,5,5
44,1,29,3,5,4,4,3,5,6,4,3,5,5,3
49,1,36,5,5,2,2,2,2,1,1,2,1,1,1
50,1,23,4,5,4,3,5,5,3,5,4,6,5,5
51,1,27,4,6,4,5,3,6,4,6,4,6,4,3
67,1,37,3,5,6,6,2,4,6,7,7,6,5,2
72,1,29,3,4,3,2,3,4,4,3,4,3,2,3
92,1,34,1,3,1,5,1,1,1,1,6,4,4,1
102,1,49,5,4,4,5,5,4,6,5,4,5,4,5
106,1,29,1,6,1,6,1,1,5,6,4,3,4,5
123,2,24,5,4,3,4,6,3,5,6,5,3,4,5
132,2,24,6,5,6,4,5,4,5,5,4,4,6,5
161,2,29,6,5,7,6,7,6,6,4,5,6,7,6
181,2,27,5,5,6,4,5,5,6,5,5,4,4,6
200,2,31,6,5,7,6,6,7,6,7,5,6,6,7
215,2,58,3,3,3,3,3,3,3,3,3,2,2,2
217,2,28,7,5,6,7,6,6,7,6,7,6,6,7
224,2,43,5,4,4,5,4,4,4,4,3,4,3,4
236,2,27,6,4,6,4,3,5,5,3,6,5,3,6
241,2,27,6,5,6,5,6,6,6,5,5,5,5,4
257,2,31,5,4,4,3,5,4,5,4,5,5,4,3
263,2,56,5,2,4,5,4,5,6,4,6,3,4,7
272,2,29,2,3,4,3,3,3,4,4,3,4,5,2
275,2,29,6,6,3,4,5,6,6,4,2,4,5,6
279,2,44,1,1,1,2,1,2,1,4,2,1,1,1
288,2,28,6,3,5,4,6,2,2,2,5,5,5,4
310,1,26,5,7,5,2,4,6,5,1,4,3,7,5
311,1,29,4,6,5,6,6,5,6,5,4,5,6,6
313,1,33,2,5,3,4,2,5,4,3,5,3,5,4
319,1,35,3,7,4,2,6,2,2,1,1,2,6,1
325,1,25,6,3,5,7,4,5,6,4,5,7,5,4
327,1,28,5,4,6,4,5,4,6,4,4,6,5,4
344,1,30,5,4,3,4,5,4,5,4,3,4,5,4
356,1,37,5,6,5,4,5,6,6,5,4,5,6,5
367,1,28,2,3,3,3,5,5,5,5,5,3,4,4
376,1,28,5,4,3,4,6,6,5,4,4,4,5,5
379,1,27,1,1,1,4,1,1,1,1,1,1,1,1
384,1,29,6,7,4,5,5,3,7,6,4,5,5,3
28,1,33,6,5,7,6,6,4,7,5,6,7,5,6
30,1,35,1,2,1,7,2,2,1,1,1,4,2,1
33,1,27,3,5,4,5,5,4,4,5,5,3,4,4
35,1,42,1,4,1,4,1,4,3,1,2,4,4,1
110,1,29,6,5,7,5,3,6,6,2,5,4,7,2
115,1,36,6,7,7,5,7,5,7,5,7,5,7,4
122,2,26,3,6,3,6,3,4,5,3,4,6,6,2
129,2,41,1,1,1,4,1,1,1,1,1,1,1,1
140,2,44,1,1,1,1,1,1,1,1,1,1,1,7
145,2,29,5,2,6,3,5,4,6,4,6,5,4,5
183,2,58,2,2,2,1,7,3,2,4,1,1,1,1
