Participant_Sex,Participant_Age,ICS1,ICS2,ICS3,ICS4,ICS5,ICS6,ICS7,ICS8,ICS9,ICS10,ICS11,ICS12
1,73,4,5,4,6,3,2,5,6,5,6,5,3
1,70,2,2,4,4,4,4,3,4,5,4,2,2
1,66,2,1,1,2,2,2,2,2,2,1,1,1
1,66,1,1,2,5,1,5,4,1,1,3,3,3
1,62,4,5,5,4,3,5,3,5,1,3,4,5
1,60,1,1,1,4,1,1,1,1,4,4,4,2
1,57,2,2,1,1,1,1,2,1,2,3,3,2
1,56,1,2,2,5,1,1,2,1,6,5,3,2
1,55,2,3,3,4,1,1,2,2,4,4,3,2
1,53,1,1,1,5,1,1,1,1,6,5,5,1
1,52,4,4,4,4,4,1,3,4,4,4,4,4
1,51,1,1,4,4,1,2,2,2,2,3,2,2
1,51,4,2,1,4,2,4,2,3,6,5,4,2
1,50,5,5,6,5,6,5,6,5,6,5,6,6
2,49,1,1,1,4,1,1,1,1,1,4,3,1
2,49,1,1,2,2,2,2,2,2,4,2,2,1
2,48,3,3,2,5,5,6,2,2,3,5,2,2
2,48,6,7,6,6,7,7,7,7,7,6,6,6
1,48,2,2,1,6,1,1,1,1,1,1,5,1
1,48,1,3,5,6,1,5,5,1,4,4,3,2
2,47,1,1,3,1,1,4,2,1,1,1,1,1
1,47,1,3,1,5,1,2,2,1,1,1,1,1
1,47,2,5,4,1,3,5,2,5,3,5,3,5
1,47,1,2,2,6,1,3,1,1,2,5,3,5
2,46,1,1,1,1,1,1,1,1,1,1,1,1
2,46,3,5,2,6,2,1,1,1,6,5,3,2
1,46,1,1,1,1,1,1,1,1,7,1,1,1
1,46,2,2,1,6,3,2,2,2,6,6,6,4
1,46,2,3,5,7,5,6,5,2,4,6,4,3
2,45,3,3,3,4,1,1,1,1,3,3,3,1
2,45,1,1,1,1,1,1,1,1,1,1,1,1
2,45,3,3,1,5,1,1,1,1,4,4,3,1
2,45,1,1,1,4,4,5,2,1,1,1,1,1
2,45,3,7,7,7,7,7,7,7,4,7,7,7
1,45,2,1,1,4,1,1,1,1,3,4,1,1
1,45,6,6,5,6,3,3,3,5,5,6,6,5
1,45,3,2,3,5,1,3,2,1,4,4,5,3
2,44,3,4,5,4,2,2,2,2,4,5,4,3
2,44,4,4,4,4,3,4,4,3,3,4,4,4
2,43,1,1,1,1,1,1,2,1,3,1,1,1
1,43,1,1,1,1,1,1,1,1,3,3,1,1
1,43,1,1,1,1,1,4,7,1,7,7,7,7
2,42,1,1,4,3,3,2,2,1,4,3,3,1
2,42,4,5,5,5,1,4,5,1,4,5,3,5
2,42,2,3,3,3,3,3,3,1,4,4,3,1
2,42,2,2,2,2,2,2,2,2,2,2,2,2
1,42,1,1,1,6,1,1,1,1,1,1,1,1
1,42,1,1,4,6,4,4,3,6,4,5,1,1
2,41,1,3,3,4,5,4,2,3,1,6,1,2
2,41,1,2,1,2,1,1,1,1,2,2,1,1
2,41,7,7,7,4,5,5,5,2,6,6,2,2
2,41,1,1,1,6,1,1,1,1,4,5,5,1
2,41,5,6,6,4,1,1,6,1,4,3,2,4
2,41,5,2,4,3,5,4,5,4,5,1,1,1
2,41,1,1,3,4,1,2,1,5,7,1,1,1
2,41,3,4,3,5,1,1,5,1,5,3,4,2
1,41,1,1,1,6,1,1,1,1,4,4,2,2
1,41,1,2,2,6,2,2,2,2,6,6,6,3
1,41,1,3,1,6,6,2,3,1,5,5,3,2
2,40,1,1,1,1,1,1,1,1,1,1,1,1
2,40,4,4,2,6,4,3,2,1,4,4,4,3
1,40,2,2,3,4,2,2,4,2,6,4,4,4
1,40,2,3,2,5,6,2,2,2,5,4,4,2
1,40,4,5,3,5,5,3,3,1,5,5,5,5
1,40,1,1,1,1,1,1,1,1,1,1,1,1
2,39,4,3,2,5,2,3,2,2,5,5,2,3
1,39,5,5,5,5,5,4,5,5,6,5,2,6
1,39,3,5,5,5,3,5,5,5,5,6,6,2
1,39,2,2,1,6,2,1,2,1,6,6,6,2
2,38,5,7,4,6,6,3,4,6,2,2,4,6
2,38,1,1,1,1,1,1,1,1,3,5,1,1
2,38,2,3,2,5,1,1,1,1,4,3,3,1
2,38,1,5,2,5,2,2,2,2,5,4,4,3
1,38,1,1,1,1,1,4,1,1,7,1,1,7
2,37,3,2,3,3,1,2,5,1,5,4,4,1
2,37,1,1,1,7,1,1,1,1,1,1,1,1
2,37,1,1,1,5,1,1,1,1,4,4,2,1
1,37,1,1,1,6,1,1,1,1,1,1,1,1
1,37,3,6,6,7,5,6,6,6,5,7,6,7
2,36,2,2,2,2,2,2,2,1,3,2,2,2
2,36,1,1,2,1,1,1,1,2,3,2,1,2
2,36,1,1,1,3,1,1,1,1,4,4,2,1
2,36,1,1,5,5,2,2,3,2,2,2,2,3
2,36,2,2,2,2,2,2,2,2,2,2,2,2
2,36,1,1,1,1,1,1,1,1,6,4,1,1
1,36,1,1,1,1,1,1,1,1,1,1,1,1
1,36,1,1,1,1,1,1,1,1,2,2,1,1
1,36,2,2,2,4,2,5,2,2,5,4,2,2
1,36,1,1,1,7,7,1,1,1,2,2,3,1
1,36,3,5,3,6,5,2,2,4,5,5,5,2
1,36,4,5,3,5,4,5,3,5,5,4,4,3
2,35,2,1,1,2,1,1,2,1,5,3,2,1
2,35,1,1,1,1,1,1,1,1,1,1,1,1
2,35,4,6,3,3,2,6,5,3,4,3,4,3
1,35,2,2,2,2,2,3,5,2,3,2,2,3
1,35,1,3,1,6,1,1,1,1,4,4,3,4
1,35,2,2,1,5,2,2,1,4,4,4,1,1
1,35,5,6,6,6,7,6,7,7,6,6,6,6
1,35,1,1,1,2,1,1,1,1,3,5,4,1
1,35,1,1,1,1,1,1,1,1,3,1,1,1
1,35,5,5,5,6,2,6,4,3,5,6,4,3
2,34,1,1,1,1,1,1,1,1,6,7,1,1
2,34,2,2,2,2,2,2,2,2,2,3,4,4
2,34,1,1,1,4,1,1,1,1,4,1,1,1
2,34,1,4,1,4,1,1,1,1,4,4,1,1
2,34,5,5,5,2,2,3,6,2,3,5,5,6
1,34,5,3,4,4,5,4,5,4,3,4,4,5
1,34,5,5,6,4,6,5,4,6,6,7,4,6
1,34,3,4,3,2,3,2,3,2,5,2,4,2
1,34,1,1,1,4,1,1,1,1,4,7,7,1
1,34,1,1,1,4,1,1,1,1,7,7,7,1
1,34,1,3,3,5,1,2,4,1,6,5,4,1
2,33,4,2,2,2,2,2,2,2,2,4,2,2
2,33,1,1,1,1,1,1,1,1,1,1,1,1
2,33,3,2,3,3,1,1,1,1,4,4,2,1
2,33,1,1,1,1,1,1,1,1,1,1,1,1
2,33,2,3,3,4,1,1,1,1,3,3,3,1
2,33,2,5,3,6,1,2,1,1,6,4,3,2
2,33,3,5,5,5,2,2,5,2,2,3,3,4
1,33,1,1,1,5,1,1,1,1,3,1,1,1
1,33,2,5,3,7,2,2,2,2,7,7,2,2
1,33,1,1,1,1,1,1,1,1,1,1,1,1
1,33,5,6,7,7,6,1,7,4,7,7,7,6
1,33,5,3,2,4,6,5,2,4,4,6,3,2
1,33,6,7,5,6,4,3,6,2,5,6,7,4
2,32,3,5,2,5,3,2,2,2,5,6,1,1
2,32,1,1,1,1,1,1,1,1,1,1,1,1
2,32,5,5,5,6,6,7,7,3,5,6,6,6
2,32,2,2,2,6,2,2,1,1,6,6,6,3
2,32,1,1,1,4,1,1,1,1,1,1,1,1
2,32,3,3,2,6,1,1,2,1,5,5,1,1
2,32,3,3,4,4,3,3,4,3,4,5,5,3
2,32,1,1,1,1,1,1,1,1,1,1,1,1
2,32,5,6,5,6,2,2,3,1,3,4,3,4
1,32,5,6,6,7,5,4,5,6,6,5,5,6
1,32,5,6,5,6,5,3,5,6,7,5,6,5
1,32,1,1,1,4,1,1,1,1,4,6,3,1
1,32,2,3,2,2,3,2,3,2,2,3,2,2
1,32,2,3,1,6,1,6,1,1,4,3,1,1
1,32,1,1,1,4,1,1,1,1,4,4,4,1
1,32,5,6,7,7,6,6,5,6,5,4,5,6
1,32,1,1,1,1,1,1,1,1,1,3,3,1
1,32,3,5,4,3,4,4,3,5,4,5,5,4
2,31,3,3,1,4,1,1,2,1,4,4,4,2
2,31,2,2,2,5,1,1,1,1,2,2,2,2
2,31,6,4,2,5,4,2,5,5,3,3,2,5
2,31,3,4,5,5,1,1,3,1,4,4,4,2
2,31,5,3,5,5,5,4,3,3,5,2,5,2
2,31,1,1,1,1,1,1,1,1,1,1,1,1
1,31,1,1,1,4,1,1,1,1,1,1,1,7
1,31,4,4,2,6,1,1,4,1,4,7,4,5
1,31,1,1,2,5,2,1,1,1,1,5,6,3
1,31,4,6,5,6,2,3,5,3,4,5,4,4
1,31,2,2,4,4,2,2,4,2,4,3,3,3
2,30,1,1,1,1,1,1,1,1,1,1,1,1
2,30,3,3,3,4,4,3,4,4,4,4,3,3
2,30,1,3,2,7,1,1,2,1,6,6,6,1
2,30,4,5,6,4,5,4,7,2,4,7,4,5
1,30,5,4,6,4,5,5,6,5,4,5,5,4
1,30,2,2,1,2,1,1,2,2,2,1,1,1
1,30,1,1,1,3,1,1,3,1,5,6,2,1
1,30,3,3,2,5,2,2,2,2,4,4,4,4
1,30,5,3,3,4,4,2,3,4,3,4,6,4
1,30,2,4,5,5,1,5,2,1,5,4,2,2
1,30,3,5,4,4,5,6,5,4,4,5,5,6
1,30,3,6,7,6,3,3,6,1,5,5,5,6
1,30,1,1,1,1,1,1,2,1,3,1,1,2
2,29,6,5,6,6,6,6,5,4,5,5,4,5
2,29,2,2,2,2,2,3,2,5,4,3,5,2
2,29,4,5,5,5,2,2,5,2,5,6,5,5
2,29,2,2,1,3,2,1,1,1,1,1,1,1
1,29,5,6,5,6,5,5,5,5,4,6,5,6
1,29,1,1,1,6,2,3,1,1,1,1,1,1
1,29,1,1,1,4,1,1,1,1,2,3,3,2
1,29,6,4,6,7,1,1,7,3,7,7,7,7
1,29,3,4,4,4,5,4,5,4,5,4,3,3
1,29,3,3,6,6,3,4,6,4,4,5,5,5
1,29,3,3,3,5,4,3,3,4,5,5,5,5
2,28,1,1,1,4,1,1,1,1,4,4,2,4
2,28,1,1,1,1,1,1,1,1,4,5,4,1
2,28,1,1,1,1,1,1,1,1,1,5,4,1
2,28,2,4,2,2,2,4,2,2,4,2,2,2
2,28,1,1,1,1,1,1,1,1,1,1,1,1
2,28,2,2,2,5,2,2,2,2,2,3,2,2
2,28,3,3,2,6,2,2,2,2,5,6,4,2
2,28,7,7,7,6,5,4,7,2,7,6,7,6
2,28,6,6,7,7,5,6,7,4,5,5,7,4
2,28,7,5,6,7,7,2,2,2,5,7,6,2
1,28,5,1,5,3,1,4,5,2,7,5,7,5
1,28,2,4,2,2,2,4,2,2,5,5,4,4
1,28,3,4,2,3,3,4,2,3,3,4,3,4
